_start,_stop,_time,_value,_field,_measurement,child,parent
2024-10-07T13:58:14.815293004Z,2024-11-06T13:58:14.815293004Z,2024-10-28T17:30:48.704Z,1677565722,child,Tracking_comp,1677565722,Printer_1
2024-10-07T13:58:14.815293004Z,2024-11-06T13:58:14.815293004Z,2024-10-28T18:48:41.215Z,1677565722,child,Tracking_comp,1677565722,Printer_1
2024-10-07T13:58:14.815293004Z,2024-11-06T13:58:14.815293004Z,2024-10-28T18:52:48.12Z,1677565722,child,Tracking_comp,1677565722,Printer_1
2024-10-07T13:58:14.815293004Z,2024-11-06T13:58:14.815293004Z,2024-10-28T19:31:16.893Z,1677565722,child,Tracking_comp,1677565722,Printer_1
2024-10-07T13:58:14.815293004Z,2024-11-06T13:58:14.815293004Z,2024-10-28T17:30:48.704Z,Printer_1,parent,Tracking_comp,1677565722,Printer_1
2024-10-07T13:58:14.815293004Z,2024-11-06T13:58:14.815293004Z,2024-10-28T18:48:41.215Z,Printer_1,parent,Tracking_comp,1677565722,Printer_1
2024-10-07T13:58:14.815293004Z,2024-11-06T13:58:14.815293004Z,2024-10-28T18:52:48.12Z,Printer_1,parent,Tracking_comp,1677565722,Printer_1
2024-10-07T13:58:14.815293004Z,2024-11-06T13:58:14.815293004Z,2024-10-28T19:31:16.893Z,Printer_1,parent,Tracking_comp,1677565722,Printer_1
2024-10-07T13:58:14.815293004Z,2024-11-06T13:58:14.815293004Z,2024-10-28T20:06:09.004Z,1677565722,child,Tracking_comp,1677565722,Printer_10
2024-10-07T13:58:14.815293004Z,2024-11-06T13:58:14.815293004Z,2024-10-28T20:06:09.004Z,Printer_10,parent,Tracking_comp,1677565722,Printer_10
2024-10-07T13:58:14.815293004Z,2024-11-06T13:58:14.815293004Z,2024-10-28T18:52:57.605Z,1677565722,child,Tracking_comp,1677565722,Printer_2
2024-10-07T13:58:14.815293004Z,2024-11-06T13:58:14.815293004Z,2024-10-28T19:35:18.79Z,1677565722,child,Tracking_comp,1677565722,Printer_2
2024-10-07T13:58:14.815293004Z,2024-11-06T13:58:14.815293004Z,2024-10-28T20:17:40.763Z,1677565722,child,Tracking_comp,1677565722,Printer_2
2024-10-07T13:58:14.815293004Z,2024-11-06T13:58:14.815293004Z,2024-10-28T18:52:57.605Z,Printer_2,parent,Tracking_comp,1677565722,Printer_2
2024-10-07T13:58:14.815293004Z,2024-11-06T13:58:14.815293004Z,2024-10-28T19:35:18.79Z,Printer_2,parent,Tracking_comp,1677565722,Printer_2
